name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
LHS 102BC,,,,,,,,,,,,,87,6,48.1,5.2,,,,,,,,,,
LHS 1070,,,,,,,,,,,,,1070,20,353,0.4,,,,,267,5,330,0.4,1993-07-29,1994A&A...291L..47L
2MASSI J0025036+475919,14,1,14.5,1.5,,,2010ApJ...722..311L,,,,,,330,,-126.9,,,,,,,,,,,
LP 349-25,,,,,,,,,,,,,125,10,12.7,2,,,,,,,,,2004-07-03,2005A&A...435L...5F
2MASSW J0036159+182110,14,,15.5,0.5,,,2013ApJ...767..110P,,,,,,44.5,1.2,198.4,1.3,,,,,,,,,,2013ApJ...767..110P
DENIS-P J0041353-562112,6.5,1,9,1,,,2010A&A...513L...9R,,,,,,142.8,0.5,43.6,0.6,,,,,,,,,2009-08-14,2010A&A...513L...9R
2MASSW J0045214+163445,10,,10,,,,2013ApJ...767..110P,,,,,,50.3,0.7,300.6,2.5,,,,,,,,,,2013ApJ...767..110P
G 69-47,,,,,,,,0.142,0.02,0.101,0.02,2018A&A...619A..32B,,,,,,,,,,,,,,
HIP 6407B,,,,,,,,,,,,,125.8,0.8,51,0.4,,,,,,,,,2013-10-14,2014ApJ...792..119D
2MASS J01303563-4445411,,,,,,,,,,,,,3280,50,87.3,0.9,,,,,,,,,2009-12-07,
L 726-8,,,,,,,,,,,,,1510,,118.2,,,,,,,,,,1948-10-09,1988AJ.....95.1841G
WISE J014656.66+423410.0,,,,,,,,,,,,,87.5,2.1,259.7,1.3,,,,,,,,,2012-09-07,2015ApJ...803..102D
2MASS J01473282-4954478,8,1,12,1,,,2006AJ....132..891R,,,,,,139.8,0.1,72.66,0.05,,,,,,,,,,2013ApJ...767..110P
DENIS J020529.0-115925,,,18,,20,,2005AJ....129..511B,,,,,,398,5,259,1,,,,,73,5,86,3,2000-10-28,2005AJ....129..511B
2MASS J02495639-0557352,,,,,,,,,,,,,44.4,0.2,233.1,0.3,,,,,,,,,2012-09-07,2018AJ....156...57D
2MASSW J0310599+164816,18,0.5,19,2,,,2010ApJ...722..311L,,,,,,204.3,0.4,206.4,0.1,,,,,,,,,2004-09-24,2010ApJ...724....1S
Cl* Melotte 22 CFHT 19,,,,,,,,,,,,,66,3,262.7,1.8,,,,,,,,,,2003ApJ...594..525M
2MASP J0345432+254023,,,,,,,,,,,,,217.4,9.1,258.8,2.8,,,,,,,,,2008-09-21,2010ApJ...715..724B
Cl* Melotte 22 IPMBD 25,7,,14,,,,2005ApJ...621.1023S,,,,,,94,3,340.5,2.1,,,,,,,,,,2003ApJ...594..525M
Cl* Melotte 22 PPL 15,7,,8,,,,2005ApJ...621.1023S,,,,,,,,,,,,,,,,,,,
2MASS J03505737+1818069,,,,,,,,0.0815,0.0055,0.068,0.005,2023ApJ...945L...6H,,,,,,,,,,,,,,
Cl* Melotte 22 CFHT 18,8,,8,,,,2005ApJ...621.1023S,,,,,,334,1,351.3,0.2,,,,,,,,,,1998ApJ...509L.113M
Cl* Melotte 22 CFHT 12,8,,14,,,,2005ApJ...621.1023S,,,,,,62,2,266.7,1.7,,,,,,,,,,2003ApJ...594..525M
2MASS J03552337+1133437,,,,,,,,,,,,,82.5,13,276.2,4.1,,,,,,,,,2008-10-17,2010ApJ...715..724B
DENIS-P J035726.9-441730,,,,,,,,,,,,,98,,174,,,,,,,,,,,
Hya05,,,,,,,,,,,,,93,2,204.9,1.2,,,,,,,,,2009-12-07,2013A&A...555A.137D
LP 714-37 B,8,0.5,8.5,0.5,,,2006ApJ...645L.153P,,,,,,400,,107,,,,,,,,,,,2001AJ....122.3466M
[SS94] V410 X-ray 3,6,,7.7,,,,2006ApJ...649..306K,,,,,,44,2,204,2,,,,,,,,,2004-01-24,2006ApJ...649..306K
LP 415-20,,,,,,,,,,,,,119,8,91.2,0.7,,,,,,,,,2002-02-07,2003ApJ...598.1265S
