name,flag
2MASS J00191296-6226005,h?
HD 2562 B,p
HD 3651B,h
HD 4113 C,h
WISE J004945.61+215120.0,n
2MASS J01033563-5515561(AB)b,p
GU Psc b,p
2MASS J01225093-2439505B,p
SIMP J013656.5+093347.3,n
L 726-8,n
HD 13724 B,h
2MASS J02192210-3925225A,h
2MASS J02192210-3925225B,p
Gl 105 C,n
2MASS J0249-0557 c,p
2MASS J02495639-0557352,h
Teegarden's Star,n
PSO J043.5395+02.3995,n
DENIS-P J025503.3-470049,n
WISEPA J031325.96+780744.2,n
LP 944-20,n
WISE J035000.32-565830.2,n
WISEPA J041022.71+150248.5,n
2MASSI J0415195-093506,n
FU Tau B,p
DH Tau B,h
2MASS J04372171+2651014 b,p
51 Eri b,p
LkCa 15 b,x
2MASS 0441+2301 Bab,hp
2MASS 0441+2301 Aab,h
AB Aur b,p?
WISE J052126.29+102528.4,n
AF Lep b,p
MWC 758 b,p
2MASS J05352184-0546085,h
G 100-28,h?
beta Pic b,p
beta Pic c,p
WISEP J060738.65+242953.4,n
Gl 229B,n
AB Pic b,p
HD 46588B,h?
WISE J072003.20-084651.2,n
UGPS J072227.51-054031.2,n
COCONUTS-2b,p
HD 65216BC,h
WD 0806-661B,p
DENIS J081730.0-615520,n
DENIS-P J0823031-491201,hp
WISEA J082507.37+280548.2,n
LHS 248,n
SDSS J083506.16+195304.4,h?
2MASSI J0835425-081923,n
WISE J085510.83-071442.5,n
G 9-38A,n
G 9-38B,n
LP 368-128,n
2MASSI J0937347+293142,n
2MASS J09393548-2448279,n
LP 261-75B,p
20 LMi B,h
HD 89744B,h
LHS 292,n
DENIS-P J104814.7-395606.1,n
Luhman 16,n
CWISE J105512.11+544328.3,n
Wolf 359,n
HD 95086b,p
CT Cha B,p
PM I11055+4331,n
CHXR 73B,p
CD-28 8692 B,h
2MASS J11145133-2618235,n
WISE J111838.70+312537.9,n
2MASS J11193254-1137466,h
YSES 2 b,p
2MASSW J1207334-393254,hp
HD 106906 b,p
BD+60 1417B,p
VHS J125601.92-125723.9 b,p
VHS J125601.92-125723.9 AB,h
G 255-34B,h
Ross 458C,p
HD 114762B,h
GJ 504 B,p
HIP 65426 b,p
YSES 1 c,p
YSES 1 b,p
WISEPC J140518.40+553421.4,n
PDS 70b,p
PDS 70c,p
HIP 70849B,h
Proxima Centauri,n
b Cen (AB) b,p
LHS 3003,n
Gliese 570D,n
CFBDSIR J145829+101343,hp
TVLM 513-46546,h
2MASS J15031961+2525196,n
WISEPC J150649.97+702736.0,n
2MASSW J1507476-162738,n
2MASS J15104761-2818234,h
2MASS J15104786-2818174,h
WISEA J154045.67-510139.3,n
WISEPA J154151.66-225025.2,n
GQ Lup b,p
USco1556 B,p
HIP 78530B,p
UScoCTIO 108,h
UScoCTIO 108b,p
1RXS J160929.1-210524B,p
USco1621 B,p
GSC 06214-00210B,p
Oph J1622-2405A,h
Oph J1622-2405B,p
ROXs 12 b,p
SR12 C,p
CFHTWIR-Oph 98 AB,hp
ROXs 42Bb,p
WISE J163940.83-684738.6,n
mu.02 Sco b,p
vB 8,n
NLTT 44368B,h?
WISEPA J173835.53+273258.9,n
WISEPA J174124.26+255319.5,n
2MASSI J1835379+325954,n
SCR J1845-6357,n
vB 10,n
GJ 758B,h
WISE J192841.35+235604.9,n
KOI-205b,h
GJ 1245B,n
WISE J200050.19+362950.1,n
HIP 99770 b,p
WISEPC J205628.90+145953.3,n
PSO J319.3102-29.6682,h?
HD 203030B,p
2MASS J21265040-8140293,p
HN Peg B,p
HD 206893B,h
HD 206893c,p
eps Indi B,n
WISE J220905.73+271143.9,n
2MASS J22362452+4751425 b,p
2MASS J23062928-0502285,h
HR 8799b,p
HR 8799c,p
HR 8799d,p
HR 8799e,p
kappa And B,p
Ross 248,n
WISEA J235402.79+024014.1,n
