name,aliases,plx,plxerr,ref_plx,pmra,pmraerr,pmdec,pmdecerr,ref_pm,dist,disterr,dist_notes,spt,sptnum,ref_spt,age,sep,seperr,pa,paerr,offset_ew,offseterr_ew,offset_ns,offseterr_ns,epoch_astrometry,ref_astrometry,name_simbad
WISEA J000430.66-260402.3,,,,,,,,,,,,,T3,23,2025ApJ...982...79B,2.5,,,,,,,,,,,
LHS 102BC,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 984 B,,,,,,,,,,,,,,,,,0.2016,0.0004,92.2,0.5,,,,,2014-09-09,,
2MASS J00150206+2959323,NLTT 730 B,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 1160B,,,,,,,,,,,,,,,,,0.77,0.03,246.2,1,,,,,2002-07-28,2012ApJ...750...53N,
Koenigstuhl 1B,LEHPM1-0494 B:DENIS-P J0021.0-4244,,,,,,,,,,,,,,,,,,,,,,,,,,
Koenigstuhl 1A,LEHPM1-0494 A,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASSI J0025036+475919,HD 2057 CD,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 2562 B,,,,,,,,,,,,,,,,,0.61505,0.00176,297.83,0.27,,,,,2016-01-25,2023AJ....165..219Z,
HD 3651B,Gliese 27 B,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 4113 C,,,,,,,,,,,,,,,,,0.535,0.003,41.3,0.4,,,,,2016-07-20,2018A&A...614A..16C,
HD 4747 B,,,,,,,,,,,,,,,,,0.608,0.011,156.4,1.3,,,,,2008-09-07,2019A&A...631A.107P,
WISEA J010202.11+035541.4,SIMP 0102+0355,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 6407B,NLTT 4558 B:PS1-412-881,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 13724 B,,,,,,,,,,,,,,,,,0.17561,0.00445,272.15,1.06,,,,,2018-08-18,2020A&A...635A.203R,
Gl 105 C,,,,,,,,,,,,,M7,7,2000AJ....120.2082G,,,,,,,,,,,,
SSSPM J0306-3648,DENIS J030611.5-364753:LEHPM 3070,,,,,,,,,,,,,,,,,,,,,,,,,,
1RXS J034231.8+121622 B,,,,,,,,,,,,,,,,,0.883,0.0002,17.58,0.09,,,,,2007-12-14,2015ApJ...806...62B,
ULAS J034832.97-001258.3,,,,,,,,,,121.574,,from SpT-W2 polynomial of 2022RNAAS...6..265F,T (early),20,,,,,,,,,,,,,
PLIZ 35,BRB 20,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIZ 28,BRB 18,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J04070885+1514565,,57.01,2.24,2024ApJS..271...55K,211.81,0.34,-120.64,0.33,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
CWISE J041102.41+471422.6,,,,,,,,,,,,,d/sdT7.5,-27.5,2025ApJ...982...79B,10,,,,,,,,,,,
2MASS J04134574+3709087,,,,,,,,,,,,,L3,13,2024ApJS..271...55K,,,,,,,,,,,,
WISEA J041451.67-585456.7,,,,,,,,,,,,,esdT6:,-26,2025ApJ...982...79B,,,,,,,,,,,,
WISEA J042236.95-044203.5,,47,24,2025A&A...698A.141Z,1286,35,-708,50,2025A&A...698A.141Z,,,,,,,,,,,,,,,,,,
2MASS J04372171+2651014 b,,,,,,,,,,,,,,,,,0.918,,68.5,,,,,,,2022MNRAS.512..583G,
51 Eri b,,,,,,,,,,,,,,,,,0.45424,0.00188,171.22,0.23,,,,,2014-12-18,2020AJ....159....1D,
Gaia DR2 4818823808553134592,Gaia J0452-36 B,,,,,,,,,,,,,,,,,,,,,,,,,,
AB Aur b,,,,,,,,,,,,,,,,,0.584,0.012,180.6,1.2,,,,,2016-09-18,2022NatAs...6..751C,
2MASS J05103520-4208140,,51.39,2.64,2024ApJS..271...55K,86.89,0.55,588.34,0.39,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
HD 33632 Ab,,,,,,,,,,,,,,,,,,,,,-0.761,0.005,-0.176,0.004,2018-10-18,2020ApJ...904L..25C,
AF Lep b,,,,,,,,,,,,,,,,,0.32324,0.00658,258.81,0.56,,,,,2011-10-21,2025AJ....169..194B,
MWC 758 b,,,,,,,,,,,,,,,,,0.617,0.024,224.9,2.2,,,,,2016-10-15,2023NatAs...7.1208W,
S Ori 70,[BMZ2001] S Ori J053810.1-023626,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEPA J054231.26-162829.1,,63.26,1.65,2024ApJS..271...55K,-216.97,0.29,297.02,0.35,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
beta Pic b,,,,,,,,,,,,,,,,,0.413,0.022,34.42,3.52,,,,,2003-11-10,2012A&A...542A..41C,
beta Pic c,,,,,,,,,,,,,,,,,,,,,-0.06736,0.00017,-0.11259,0.00024,2020-02-10,2021A&A...654L...2L,
2MASS J06164006-6407194,,,,,,,,,,,,,esdT0:,-20,2025ApJ...982...79B,,,,,,,,,,,,
CWISE J061741.79+194512.8,,,,,,,,,,28.2,5.7,2023RNAAS...7..184H,,,,,,,,,,,,,,,
WISEPA J062720.07-111428.8,,77.02,2.86,2024ApJS..271...55K,-11.68,0.53,-339.32,0.68,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
2MASS J06453153-6646120,,,,,,,,,,,,,d/sdT0,-20,2025ApJ...982...79B,,,,,,,,,,,,
HD 49197B,,,,,,,,,,,,,,,,,0.9475,0.0022,77.6,0.25,,,,,,,
